,PlayerID,PlayerName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
21,2047,Jonathan Walters,Forward,16706.0,1.0,1.0,2.0,2.0,6.0
769,15715,José Sá,Goalkeeper,3285.0,0.0,2.0,3.0,1.0,6.0
1818,3137,Lucas Leiva,Midfielder,17328.0,1.0,2.0,2.0,1.0,6.0
1108,3082,Abdoulaye Méité,Defender,4101.0,0.0,4.0,1.0,1.0,6.0
969,2925,Micah Richards,Defender,12872.0,0.0,1.0,4.0,1.0,6.0
788,3348,Ádám Bogdán,Goalkeeper,2301.0,0.0,5.0,1.0,0.0,6.0
1079,3136,Javier Mascherano,Defender,7305.0,3.0,2.0,1.0,0.0,6.0
757,4785,Allan McGregor,Goalkeeper,4567.0,2.0,2.0,2.0,0.0,6.0
1840,5272,Pierre-Emile Højbjerg,Midfielder,15102.0,2.0,2.0,2.0,0.0,6.0
1902,4477,Santi Cazorla,Midfielder,10808.0,1.0,4.0,1.0,0.0,6.0
1908,4252,Alex Oxlade-Chamberlain,Midfielder,10381.0,0.0,4.0,1.0,1.0,6.0
728,7548,Vicente Guaita,Goalkeeper,10890.0,0.0,3.0,2.0,1.0,6.0
731,2933,Tom Heaton,Goalkeeper,10381.0,0.0,3.0,1.0,2.0,6.0
741,3488,Craig Gordon,Goalkeeper,7897.0,0.0,5.0,0.0,1.0,6.0
1918,4158,Robbie Brady,Midfielder,9846.0,1.0,3.0,2.0,0.0,6.0
1189,5334,Eliaquim Mangala,Defender,4817.0,1.0,2.0,1.0,2.0,6.0
1077,3989,Christophe Berra,Defender,8323.0,1.0,3.0,2.0,0.0,6.0
1030,5758,Lucas Digne,Defender,11125.0,2.0,0.0,1.0,3.0,6.0
1042,3563,Carlos Cuellar,Defender,10360.0,1.0,2.0,1.0,2.0,6.0
915,3360,Branislav Ivanovic,Defender,22257.0,2.0,2.0,2.0,0.0,6.0
1035,3349,Grétar Steinsson,Defender,10765.0,1.0,1.0,3.0,1.0,6.0
1198,3991,Ronald Zubar,Defender,4482.0,1.0,1.0,2.0,2.0,6.0
1039,2976,Danny Collins,Defender,10542.0,0.0,1.0,3.0,2.0,6.0
909,1717,John O'Shea,Defender,21571.0,1.0,0.0,3.0,2.0,6.0
54,2058,Carlton Cole,Forward,11646.0,3.0,1.0,1.0,1.0,6.0
1010,4620,Calum Chambers,Defender,12086.0,1.0,1.0,3.0,1.0,6.0
1083,3569,Gaël Givet,Defender,8126.0,2.0,1.0,2.0,1.0,6.0
991,2323,Steven Taylor,Defender,11505.0,2.0,0.0,3.0,1.0,6.0
996,4246,Per Mertesacker,Defender,13609.0,2.0,3.0,1.0,0.0,6.0
753,4319,Costel Pantilimon,Goalkeeper,4761.0,0.0,4.0,1.0,1.0,6.0
30,9595,Michail Antonio,Forward,14686.0,2.0,2.0,2.0,0.0,6.0
1166,26151,Joachim Andersen,Defender,5645.0,1.0,2.0,2.0,1.0,6.0
936,10458,Andrew Robertson,Defender,18463.0,1.0,2.0,3.0,0.0,6.0
1862,2007,Steve Sidwell,Midfielder,10677.0,2.0,3.0,1.0,0.0,6.0
