PlayerID,PlayerName,PlayerShortName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
5721,Gaëtan Bong,Bong,Defender,4100,0,1,2,1,4
2798,Marton Fülöp,Fulop,Goalkeeper,3893,0,4,0,0,4
4492,Christian Benteke,Benteke,Forward,19246,4,0,0,0,4
12192,Mathew Ryan,Ryan,Goalkeeper,11160,0,2,2,0,4
4495,Andreas Christensen,Christensen,Defender,7314,1,3,0,0,4
5682,Jorginho,Jorginho,Midfielder,9841,0,2,2,0,4
11575,Rob Holding,Holding,Defender,6416,1,0,2,1,4
1677,Mario Melchiot,Melchiot,Defender,8413,1,1,2,0,4
2239,Joseph Yobo,Yobo,Defender,6832,0,2,1,1,4
5861,Cheikhou Kouyaté,Kouyate,Midfielder,20732,1,1,2,0,4
11284,Arthur Masuaku,Masuaku,Defender,7185,1,1,2,0,4
5865,Youri Tielemans,Tielemans,Midfielder,9916,0,0,4,0,4
5866,Leander Dendoncker,Dendoncker,Midfielder,8709,0,1,1,2,4
2887,Michael Mancienne,Mancienne,Defender,3282,0,2,1,1,4
5879,Aleksandar Mitrovic,Mitrovic,Forward,6873,2,0,2,0,4
2889,Jack Cork,Cork,Midfielder,23894,0,1,0,3,4
7213,Sergio Rico,Rico,Goalkeeper,2610,0,3,1,0,4
4577,Sean Morrison,Morrison,Defender,4367,0,1,3,0,4
1565,Jonathan Woodgate,Woodgate,Defender,6853,0,1,2,1,4
3601,Shane Duffy,Duffy,Defender,9261,1,1,2,0,4
1412,Alan Smith,Smith,Midfielder,3370,1,2,1,0,4
4714,Mesut Özil,Ozil,Midfielder,15255,0,4,0,0,4
9426,Adam Webster,Webster,Defender,6696,0,1,2,1,4
4840,Vlad Chiriches,Chiriches,Defender,2121,1,3,0,0,4
32923,Yerry Mina,Mina,Defender,5959,0,3,0,1,4
1887,Leon Osman,Osman,Midfielder,18251,0,3,0,1,4
4781,Fernando Amorebieta,Amorebieta,Defender,1846,1,0,2,1,4
1249,Kevin Davies,Davies,Forward,14590,0,0,2,2,4
8979,Jamie Vardy,Vardy,Forward,21858,3,0,0,1,4
1464,Luke Young,Young,Defender,11512,0,1,2,1,4
3240,Ricardo Rocha,Rocha,Defender,1147,2,0,1,1,4
26408,Emiliano Buendía,Buendia,Midfielder,4363,1,2,1,0,4
8246,Ashley Barnes,Barnes,Forward,12239,2,0,1,1,4
32435,Fabián Balbuena,Balbuena,Defender,4388,1,2,1,0,4
4810,Leroy Fer,Fer,Midfielder,9389,1,2,1,0,4
4847,Nabil Bentaleb,Bentaleb,Midfielder,4180,0,4,0,0,4
9947,Troy Deeney,Deeney,Forward,12877,2,0,0,2,4
3285,Antonio Valencia,Valencia,Defender,24147,2,2,0,0,4
4673,Claudio Yacob,Yacob,Midfielder,11887,1,1,2,0,4
2974,Nyron Nosworthy,Nosworthy,Defender,4635,0,0,4,0,4
3547,Jack Wilshere,Wilshere,Midfielder,11772,2,2,0,0,4
4823,Marko Arnautovic,Arnautovic,Forward,14034,2,0,2,0,4
4604,Nathaniel Clyne,Clyne,Defender,18248,0,3,0,1,4
7219,Alberto Moreno,Moreno,Defender,6526,0,2,2,0,4
7749,Juan Cala,Cala,Defender,585,1,2,1,0,4
3015,Nigel Reo-Coker,Reo-Coker,Midfielder,10766,1,0,2,1,4
1627,Ledley King,King,Defender,6244,0,3,1,0,4
3027,Ryan Taylor,Taylor,Defender,6107,1,2,1,0,4
1974,Stephen Kelly,Kelly,Defender,8556,0,2,2,0,4
3564,Marc Albrighton,Albrighton,Midfielder,18863,1,0,3,0,4
3329,Richard Kingson,Kingson,Goalkeeper,2138,0,4,0,0,4
10472,Marcos Rojo,Rojo,Defender,5649,0,1,2,1,4
4636,Geoff Cameron,Cameron,Midfielder,13568,1,0,3,0,4
8050,Harry Arter,Arter,Midfielder,7596,1,3,0,0,4
9251,Karl Darlow,Darlow,Goalkeeper,4680,0,2,1,1,4
10633,Bruno Ecuele Manga,Manga,Defender,3375,0,2,2,0,4
